Timestamp;WEIGHT
2023-08-28 20:00:00;6470
2023-08-28 22:00:00;6470
2023-08-29 00:00:00;6470
2023-08-29 02:00:00;6480
2023-08-29 04:00:00;6480
2023-08-29 06:00:00;6480
2023-08-29 08:00:00;6480
2023-08-29 10:00:00;6470
2023-08-29 12:00:00;6460
2023-08-29 14:00:00;5060
2023-08-29 16:00:00;4990
2023-08-29 18:00:00;4460
2023-08-29 20:00:00;4470
2023-08-29 22:00:00;4470
2023-08-30 00:00:00;4470
2023-08-30 02:00:00;4470
2023-08-30 04:00:00;4470
2023-08-30 06:00:00;4470
2023-08-30 08:00:00;4470
2023-08-30 10:00:00;4430
2023-08-30 12:00:00;3090
2023-08-30 14:00:00;7610
2023-08-30 16:00:00;6780
2023-08-30 18:00:00;5850
2023-08-30 20:00:00;5850
2023-08-30 22:00:00;5850
2023-08-31 00:00:00;5850
2023-08-31 02:00:00;5850
2023-08-31 04:00:00;5860
2023-08-31 06:00:00;5860
2023-08-31 08:00:00;5860
2023-08-31 10:00:00;5850
2023-08-31 12:00:00;5660
2023-08-31 14:00:00;4410
2023-08-31 16:00:00;7140
2023-08-31 18:00:00;7140
2023-08-31 20:00:00;7150
2023-08-31 22:00:00;7150
2023-09-01 00:00:00;7150
2023-09-01 02:00:00;7150
2023-09-01 04:00:00;7150
2023-09-01 06:00:00;7150
2023-09-01 08:00:00;7150
2023-09-01 10:00:00;7140
2023-09-01 12:00:00;6470
2023-09-01 14:00:00;5600
2023-09-01 16:00:00;5560
2023-09-01 18:00:00;5560
2023-09-01 20:00:00;5570
2023-09-01 22:00:00;5570
2023-09-02 00:00:00;5570
2023-09-02 02:00:00;5570
2023-09-02 04:00:00;5570
2023-09-02 06:00:00;5570
2023-09-02 08:00:00;5570
2023-09-02 10:00:00;5570
2023-09-02 12:00:00;5560
2023-09-02 14:00:00;5550
2023-09-02 16:00:00;5550
2023-09-02 18:00:00;5560
2023-09-02 20:00:00;5560
2023-09-02 22:00:00;5560
2023-09-03 00:00:00;5560
2023-09-03 02:00:00;5570
2023-09-03 04:00:00;5570
2023-09-03 06:00:00;5570
2023-09-03 08:00:00;5560
2023-09-03 10:00:00;5560
2023-09-03 12:00:00;5550
2023-09-03 14:00:00;5530
2023-09-03 16:00:00;5540
2023-09-03 18:00:00;5550
2023-09-03 20:00:00;5550
2023-09-03 22:00:00;5560
2023-09-04 00:00:00;5560
2023-09-04 02:00:00;5560
2023-09-04 04:00:00;5560
2023-09-04 06:00:00;5560
2023-09-04 08:00:00;5560
2023-09-04 10:00:00;5510
2023-09-04 12:00:00;4320
2023-09-04 14:00:00;2520
2023-09-04 16:00:00;4830
2023-09-04 18:00:00;4840
2023-09-04 20:00:00;4840
2023-09-04 22:00:00;4840
2023-09-05 00:00:00;4840
2023-09-05 02:00:00;4840
2023-09-05 04:00:00;4850
2023-09-05 06:00:00;4850
2023-09-05 08:00:00;4850
2023-09-05 10:00:00;4310
2023-09-05 12:00:00;2100
2023-09-05 14:00:00;8520
2023-09-05 16:00:00;8530
2023-09-05 18:00:00;8530
2023-09-05 20:00:00;8540
2023-09-05 22:00:00;8540
2023-09-06 00:00:00;8540
2023-09-06 02:00:00;8540
2023-09-06 04:00:00;8550
2023-09-06 06:00:00;8550
2023-09-06 08:00:00;8550
2023-09-06 10:00:00;8530
